gyro_x,gyro_y,gyro_z
1.322,1.209,1.137
1.547,1.7,1.637
1.675,2.099,1.884
1.788,2.377,1.961
2.043,2.463,1.881
1.978,2.353,1.621
2.09,2.061,1.325
1.774,1.53,0.927
1.504,0.9203,0.4652
1.395,0.3387,0.04859
1.145,-0.244,-0.2361
0.8587,-0.7914,-0.2972
0.5887,-1.297,-0.2275
0.3309,-1.738,-0.1579
0.01568,-1.995,-0.1921
-0.3398,-2.069,-0.4486
-0.06496,-1.939,-0.8958
0.3639,-1.716,-1.323
0.5667,-1.389,-1.453
0.2441,-1.137,-1.138
0.111,-1.032,-0.638
0.05233,-0.6875,-0.01982
-0.71,-0.1854,0.4957
-0.6367,0.4145,0.8647
0.2588,1.066,1.173
0.8672,1.546,1.396
1.153,1.813,1.494
0.8953,1.888,1.418
0.6815,1.799,1.219
0.2527,1.508,0.9209
0.06699,1.149,0.6033
0.1207,0.7358,0.2734
0.01323,0.2911,-0.02837
-0.1358,-0.09011,-0.2129
-0.2287,-0.4615,-0.3582
0.1378,-0.745,-0.4865
0.7011,-0.9563,-0.6405
1.361,-1.219,-0.7797
1.531,-1.411,-0.9337
1.097,-1.593,-1.2
0.326,-1.702,-1.57
-0.4522,-1.6,-1.945
-0.6709,-1.389,-2.048
-0.8689,-1.166,-1.915
-0.5854,-0.8427,-1.466
-0.3362,-0.4493,-0.8225
0.1403,0.07482,-0.07358
0.4176,0.5904,0.6155
0.4506,1.085,1.201
0.618,1.569,1.672
0.9686,1.983,1.97
1.599,2.195,2.084
1.798,2.201,1.956
1.5,1.994,1.631
0.6681,1.615,1.223
0.08287,1.132,0.7157
0.03034,0.6136,0.2086
0.1378,0.01374,-0.2251
-0.1077,-0.5788,-0.6014
-0.2739,-1.1,-0.9117
-0.5561,-1.548,-1.138
-0.6551,-1.786,-1.289
-0.258,-1.87,-1.389
-0.02586,-1.874,-1.436
-0.159,-1.853,-1.432
-0.3081,-1.736,-1.356
-0.6526,-1.526,-1.207
-0.842,-1.063,-0.9092
-0.8786,-0.4444,-0.5073
-0.6318,0.1958,0.07669
-0.0002062,0.7993,0.7401
0.6913,1.331,1.29
1.331,1.788,1.687
1.572,1.971,1.89
1.287,1.89,1.942
0.5031,1.608,1.827
0.1012,1.235,1.491
0.01323,0.8677,0.861
0.2466,0.5318,0.117
0.1256,0.153,-0.4658
-0.594,-0.2318,-0.561
-1.432,-0.5922,-0.3497
-2.6,-0.828,-0.1628
-2.358,-0.9123,-0.1041
-1.026,-0.9172,-0.1554
0.348,-0.8415,-0.1786
0.9552,-0.6912,-0.1958
1.087,-0.5641,-0.2507
0.7035,-0.525,-0.2972
0.1586,-0.42,-0.3521
-0.3227,-0.4786,-0.4267
0.1134,-0.1365,-0.7113
0.155,0.5354,-0.8811
-0.3545,1.284,-0.5293
-0.8053,1.699,-0.1286
-0.7662,1.837,0.1146
-0.3838,1.618,0.2306
-0.09306,1.191,0.2929
0.04622,0.5586,0.2624
0.05599,-0.1182,0.3027
-0.003871,-0.6888,0.3003
-0.1676,-1.126,0.1781
-0.4132,-1.452,0.03027
-0.4718,-1.665,-0.1591
-0.5866,-1.781,-0.3228
-0.8237,-1.785,-0.4596
-0.8175,-1.678,-0.5989
-0.7345,-1.512,-0.6734
0.2735,-1.17,-0.5354
0.6424,-0.4908,-0.2837
0.2747,0.4511,0.1121
0.6388,1.332,0.6729
0.6803,1.997,1.047
0.7231,2.292,1.191
0.9393,2.251,1.09
0.6937,2.065,0.8122
0.2796,1.724,0.5043
-0.1578,1.256,0.2477
0.2832,0.6503,0.1549
0.8049,-0.128,0.09869
0.6852,-0.8916,0.0009468
0.06577,-1.46,-0.1811
-0.3081,-1.78,-0.4071
-0.3826,-1.925,-0.682
-0.495,-1.934,-1.014
-0.6673,-1.827,-1.339
-0.7687,-1.587,-1.469
-0.302,-1.152,-1.393
0.1146,-0.6533,-1.282
0.2099,-0.09255,-0.7492
0.2539,0.5159,0.0376
0.6339,1.215,0.8977
1.445,1.718,1.417
