acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-0.07185,0.02156,9.891,-3.92,3.212,5.22,1
-0.05748,0.02874,9.918,-5.406,1.576,2.995,1
-0.04311,-0.002395,9.882,-1.626,0.1127,1.553,1
-0.05509,-0.03593,9.82,-0.9006,-0.3626,-0.01005,1
-0.05269,0.02156,9.824,0.3969,-0.5531,-1.58,1
-7.487,0.4263,6.467,3.758,-2.48,-5.066,1
-7.477,0.4143,6.361,3.518,-1.978,-3.612,1
-0.0503,0.01198,9.86,1.08,-0.9575,-2.022,1
-0.01916,0.02874,9.896,-0.1273,0.4108,0.2832,1
-0.08143,-0.01677,9.848,-1.882,2.844,3.865,1
-3.245,5.559,4.943,-2.789,3.933,6.531,1
-0.03832,0.04551,9.872,-2.535,2.799,7.181,1
-3.933,6.871,4.498,-3.442,2.177,4.575,1
-0.06467,0.04072,9.851,-4.512,0.9129,1.649,1
-0.06227,0.00958,9.891,-0.2617,-0.2135,-0.2739,1
-1.777,2.239,10.24,-0.2775,-0.6692,-1.272,1
-0.06946,0.007185,9.915,0.003459,-1.003,-2.374,1
-1.478,7.367,2.378,0.8855,-1.775,-4.356,1
-0.03832,-0.00958,9.899,2.123,-2.901,-6.301,1
-0.08143,-0.00479,9.879,4.149,-3.606,-6.5,1
-0.0479,0.03114,9.867,4.678,-3.181,-4.694,1
-0.04311,0.02874,9.93,2.172,-1.053,-2.13,1
-0.04551,0.03114,9.839,-1.664,2.041,0.4835,1
-0.04551,-0.00958,9.891,-2.471,4.981,4.249,1
-0.03832,0.01677,9.906,-2.175,5.405,6.231,1
-0.1006,0.02395,9.915,-0.3704,4.581,6.388,1
-0.0503,-0.01198,9.882,-1.637,3.051,3.669,1
-0.115,0.02635,9.86,-3.378,1.235,1.309,1
-0.06227,0.03832,9.887,-1.111,-0.8036,-0.324,1
-0.07664,0.002395,9.911,1.015,-1.439,-1.527,1
-0.06467,0.01198,9.925,2.975,-1.703,-2.56,1
-0.05509,0.03353,9.872,3.808,-2.319,-3.378,1
-0.06467,0.02635,9.867,4.679,-3,-3.485,1
-0.06946,0.02635,9.894,4.487,-3.034,-2.46,1
-0.02395,0.02874,9.86,3.368,-2.569,-1.017,1
-0.04311,0.01198,9.93,3.094,-1.458,-0.5794,1
-0.06706,0.007185,9.882,2.833,-0.4041,-0.7907,1
-0.08622,0.03114,9.867,1.037,0.9288,-0.2177,1
-0.03832,0.05509,9.875,-0.5805,2.237,0.8403,1
-0.08383,0.01916,9.856,-1.178,3.543,1.705,1
-6.16,-6.766,-5.008,-1.579,4.009,1.963,1
-0.06706,-0.00958,9.872,-2.103,3.492,1.517,1
-0.09101,0.01437,9.879,-2.115,2.049,0.4261,1
-0.02874,-0.007185,9.889,-0.3997,0.03939,-0.4743,1
-0.1006,-0.01677,10.08,0.8452,-2.277,-1.003,1
-7.801,-0.182,5.238,1.279,-3.896,-1.086,1
-0.04072,0.02874,9.899,2.138,-4.286,-0.9092,1
-0.05269,0.02635,9.853,1.814,-3.792,-0.357,1
-0.297,-0.04072,13.73,0.4677,-2.628,0.2477,1
-1.037,7.504,2.589,-0.5268,-1.027,0.4163,1
-0.08622,0.007185,9.896,-2.04,0.8323,0.3907,1
-0.06946,0.0503,9.867,-4.229,2.888,1.601,1
-0.1054,0.007185,9.856,-5.954,4.196,3.452,1
-0.07425,0.03593,9.947,-3.367,3.399,5.036,1
-0.05748,0.05269,9.887,-4.484,3.435,4.165,1
-5.717,-5.307,4.203,-5.326,1.807,2.983,1
-7.935,3.535,2.417,-0.02831,1.48,1.748,1
-0.115,0.02156,9.858,0.3345,1.068,0.2111,1
-0.05988,-0.002395,9.853,1.298,0.3815,-1.058,1
-1.815,7.544,6.11,1.579,-0.4774,-2.048,1
-0.09341,0.01916,9.884,2.022,-1.373,-2.671,1
-2.711,-6.998,-7.096,2.722,-2.356,-3.233,1
-2.268,-6.553,-5.159,2.84,-3.451,-3.906,1
-0.0503,0.01677,9.808,2.785,-3.898,-4.155,1
-3.913,-7.259,1.866,2.937,-3.353,-3.389,1
-0.09341,0.04072,9.911,1.503,-2.006,-2.368,1
-2.405,2.136,8.89,0.1989,-0.3332,-0.572,1
-1.619,2.441,9.072,-1.32,2.271,2.066,1
-0.05748,0.0503,9.834,-2.659,4.232,4.326,1
-0.06946,0.02395,9.908,-2.794,4.174,5.275,1
-2.278,-0.6898,21.59,-3.538,3.505,4.182,1
-0.05988,0.02874,9.901,-3.123,2.577,2.419,1
-0.03353,0.00479,9.877,-1.454,1.382,1.02,1
-0.06467,0.02395,9.887,-0.04419,0.566,-0.1762,1
-0.09341,-0.00479,9.942,0.6412,-0.2318,-1.094,1
-0.07185,0.01916,9.836,0.3187,-1.141,-2.019,1
-0.08862,0.02874,9.81,0.8428,-2.213,-3.183,1
-0.07185,0.01677,9.832,2.738,-3.181,-4.066,1
-0.04551,0.03353,9.82,3.028,-3.67,-4.164,1
-0.0503,0.002395,9.788,3.805,-3.351,-3.239,1
-0.03832,0.01198,9.879,2.321,-1.918,-2.103,1
-0.07185,0,9.872,-0.8701,0.0002978,-1.093,1
-4.254,2.108,6.277,-1.483,3.174,1.787,1
-0.0503,0.03114,9.949,-2.499,5.184,4.24,1
-0.07664,0.01437,9.882,-2.451,4.625,5.457,1
-0.06227,0.06227,9.891,-3.951,3.764,4.139,1
-0.0503,0.05509,9.858,-3.063,2.485,2.473,1
