gyro_x,gyro_y,gyro_z,acceleration_x,acceleration_y,acceleration_z,activity
-2.659,4.232,4.326,-4.122,-8.107,-4.642,1
-2.794,4.174,5.275,-0.06946,0.01677,9.832,1
-3.538,3.505,4.182,-0.05988,0.01198,9.875,1
-3.123,2.577,2.419,-0.07185,0.02395,9.879,1
-1.454,1.382,1.02,-0.0479,0.04551,9.844,1
-0.04419,0.566,-0.1762,-0.01677,0.05988,9.915,1
0.6412,-0.2318,-1.094,-0.05988,0.01198,9.901,1
0.3187,-1.141,-2.019,-0.01437,0.04072,9.879,1
0.8428,-2.213,-3.183,-0.07425,0.04072,9.913,1
2.738,-3.181,-4.066,-0.01677,0.00479,9.891,1
3.028,-3.67,-4.164,-0.06946,0.05509,9.887,1
3.805,-3.351,-3.239,-0.06227,0.02874,9.877,1
2.321,-1.918,-2.103,-0.05988,-0.01198,9.882,1
-0.8701,0.0002978,-1.093,-4.895,7.099,5.695,1
-1.483,3.174,1.787,-0.07425,-0.01677,9.896,1
-2.499,5.184,4.24,-0.03832,0.01916,9.853,1
-2.451,4.625,5.457,-0.0503,0.02156,9.913,1
-3.951,3.764,4.139,-1.221,6.974,6.613,1
-3.063,2.485,2.473,-0.04311,0.03593,9.925,1
-0.947,1.268,1.378,-0.09341,0.06227,9.856,1
-1.028,0.08948,0.1207,-0.07425,0.01916,9.937,1
0.08165,-0.5983,-0.9593,-0.08622,0.04072,9.853,1
1.096,-1.236,-2.147,-0.02156,0.02156,9.865,1
1.848,-1.918,-3.493,-0.08143,0.01198,9.853,1
2.553,-2.681,-4.562,-0.05988,0.01437,9.894,1
3.219,-3.154,-4.857,-0.0479,0.03114,9.879,1
3.603,-3.149,-4.182,-0.03114,0.00479,9.894,1
2.35,-2.29,-3.169,-0.08143,0.03353,9.844,1
-0.08817,-0.7437,-2.4,-0.03832,0.007185,9.829,1
0.2686,1.052,-0.8775,-0.06227,0.08383,9.839,1
-0.1297,2.726,1.589,-1.066,-4.076,9.36,1
-2.13,3.957,3.857,-0.01916,-0.002395,9.865,1
-1.997,3.103,5.28,-7.496,0.594,6.028,1
-1.151,2.974,4.624,-0.02874,0.02395,9.889,1
-5.389,2.008,2.96,-0.04551,0.01198,9.901,1
-0.9629,0.5745,2.232,-0.06946,0.05509,9.848,1
2.774,-0.3748,0.5678,-0.04311,-0.002395,9.844,1
3.766,-1.28,-1.031,-0.08143,0.03832,9.863,1
3.132,-2.312,-1.993,-0.07425,0.00479,9.863,1
2.971,-2.937,-2.417,-3.715,6.776,5.98,1
2.894,-3.366,-2.262,-0.05269,0.00479,9.889,1
2.741,-3.39,-1.562,-0.05509,0.04551,9.827,1
2.371,-3.086,-0.8225,-0.0503,0.002395,9.901,1
2.001,-2.438,-0.6087,-0.04551,0.00958,9.93,1
2.209,-1.196,-0.4755,-0.05748,0.05988,9.889,1
0.6656,0.401,-0.3045,-0.05269,-0.03353,9.906,1
-1.24,2.163,0.3662,-0.002395,0.02635,9.834,1
-1.672,3.738,1.373,-5.288,1.133,8.44,1
-1.869,4.515,2.143,-1.346,2.759,9.482,1
-2.394,4.457,2.359,0.1605,0.1581,9.93,1
-3.281,3.56,2.118,-0.09101,0.002395,9.911,1
-3.274,2.516,1.911,-0.1126,0.00479,9.832,1
-2.235,1.1,1.499,-2.158,-9.958,-4.572,1
-0.5158,-0.3039,0.2221,-0.07425,-0.00958,9.82,1
1.085,-2.033,-1.145,-1.681,7.537,6.124,1
1.964,-3.411,-2.021,-0.03593,-0.01198,9.865,1
3.009,-3.943,-1.984,-0.07904,0.02156,9.927,1
2.889,-3.647,-1.305,-2.888,1.875,8.852,1
2.052,-2.84,-0.9056,-0.07425,0.01198,9.872,1
1.531,-1.925,-0.9447,-0.03832,0.05509,9.872,1
0.7426,-0.723,-0.8274,-0.02156,0.04072,9.906,1
-1.195,0.8738,-0.3143,-0.06946,0.04072,9.906,1
-3.164,2.68,0.8562,-0.06467,-0.00479,9.836,1
-4.618,4.234,2.055,-0.02635,0.00958,9.832,1
-4.759,4.027,3.253,-0.05509,0.03832,9.875,1
-4.714,3.417,2.965,-0.07185,0.02156,9.896,1
-5.623,2.177,1.969,-0.0982,0.00958,9.841,1
-2.517,1.485,1.568,-0.08862,0.07185,9.839,1
-1.328,0.5183,0.3333,-0.04311,0.02874,9.867,1
-0.1884,-0.464,-1.088,-1.681,-8.493,-5.317,1
0.6021,-1.256,-2.399,-0.4718,-0.1509,9.317,1
0.8697,-1.954,-3.708,-0.00958,-0.00479,9.894,1
1.942,-2.789,-4.776,-0.115,-0.007185,9.877,1
2.917,-3.606,-4.98,-0.0479,0.03832,9.882,1
2.415,-3.611,-4.383,-0.03114,0.01198,9.853,1
0.5007,-2.667,-3.607,-0.04072,0.04311,9.894,1
0.3517,-0.3149,-2.107,-0.05748,-0.02635,9.896,1
1.031,1.771,0.1854,-0.06467,0.04072,9.817,1
-0.7381,3.49,2.644,-0.1006,-0.01677,9.829,1
-2.684,3.857,4.261,-0.03114,0.00479,9.87,1
-1.779,3.14,4.663,-0.06706,0.03593,9.908,1
-2.931,2.747,3.675,-0.06706,-0.01198,9.865,1
-3.999,1.178,3.113,-0.04072,0.03114,9.889,1
