acceleration_x,acceleration_y,acceleration_z
-9.053,-3.736,3.032
-9.511,-3.442,2.395
-9.836,-3.205,2.328
-10.4,-2.666,1.868
-10.95,-2.642,2.029
-11.42,-2.479,1.933
-11.64,-1.825,1.82
-11.35,-1.332,1.578
-10.88,-0.5317,1.509
-10.22,0.01437,1.353
-9.238,0.2994,1.344
-9.309,0.2706,0.4886
-8.816,0.7688,-0.3928
-9.252,0.08143,-0.3784
-9.374,-0.2132,0.03353
-10.01,-0.8526,0.03114
-10.68,-1.868,0.2994
-11.19,-2.467,0.8718
-11.33,-2.807,1.576
-11.7,-2.666,1.933
-11.44,-3.094,2.187
-10.52,-3.09,2.675
-9.956,-2.239,2.462
-9.348,-3.228,2.826
-8.866,-3.585,3.111
-8.945,-3.561,2.864
-9.171,-3.403,2.74
-9.719,-3.339,2.292
-10.27,-3.193,2.189
-10.79,-2.512,1.557
-11.37,-2.582,1.765
-11.74,-2.072,1.356
-11.92,-1.894,1.229
-11.74,-1.171,0.8311
-10.82,-0.8574,0.7568
-10.21,0.2898,-0.2515
-9.123,0.2778,-0.3784
-9.314,1.267,-0.855
-9.187,1.351,-1.087
-9.393,0.5149,-0.6706
-10,-0.06467,-0.2156
-10.63,-0.9796,0.1389
-11.28,-1.662,0.5173
-11.65,-2.247,1.303
-11.76,-2.261,1.705
-11.37,-2.354,1.947
-10.85,-2.227,2.23
-10.41,-2.335,2.33
-9.798,-3.111,2.896
-9.036,-3.305,3.114
-8.941,-3.382,3.236
-9.218,-2.922,2.752
-9.398,-3.023,2.582
-9.846,-2.9,2.328
-10.5,-2.778,2.144
-11.11,-2.567,1.945
-11.47,-2.23,1.641
-11.38,-2.139,1.356
-11.76,-1.595,1.317
-11.17,-0.3976,0.2874
-11.22,-0.4024,0.03353
-10.1,0.7281,-0.4
-9.345,1.188,-0.4694
-8.931,0.9844,-0.3808
-8.941,1.044,-0.8766
-9.626,0.4694,-0.8287
-10.09,-0.2658,-0.2635
-11.02,-1.013,0.4862
-11.62,-1.674,1.099
-11.88,-1.988,1.693
-11.62,-2.179,2.464
-11.18,-2.364,2.505
-10.55,-3.046,2.805
-9.92,-3.83,3.116
-9.147,-4.352,3.298
-8.653,-4.373,2.721
-8.486,-4.548,2.673
-9.032,-3.724,2.184
-9.784,-3.363,2.191
-10.38,-3.281,2.031
-10.93,-3.176,2.029
