acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-11.43,-3.411,2.45,-0.07473,-0.4407,-0.2886,0
-9.992,1.035,-0.4407,-0.3985,0.5122,0.07303,0
-10.95,-2.429,2.785,-0.9605,1.391,0.475,0
-0.6155,1.779,9.812,-1.389,2.303,0.9221,0
-14.98,-1.047,1.789,-1.678,3.046,1.39,0
-8.442,0.5245,-0.08143,-1.767,3.654,1.754,0
-11.74,-1.478,1.087,-2.516,4.132,1.964,0
-8.883,-4.754,2.738,-2.631,4.025,2.181,0
-10.08,-1.638,3.114,-3.1,3.747,2.075,0
-9.46,-3.001,2.932,-3.508,2.844,1.923,0
-9.151,-2.987,4.026,-2.677,2.075,1.697,0
-9.812,-3.937,2.891,-2.591,1.238,1.071,0
-11.59,-2.402,2.45,-2.478,0.522,0.1915,0
-10.05,-0.01916,-0.2611,-1.088,0.07727,-0.5183,0
-8.62,-1.102,-0.08143,0.03156,-0.3149,-1.042,0
-8.038,-3.554,4.68,0.3907,-0.6631,-1.448,0
-12.83,-2.093,2.376,0.2564,-0.9771,-1.808,0
-10.67,-3.298,1.145,0.1134,-1.236,-2.133,0
-12.37,-2.661,2.92,-0.2727,-1.57,-2.412,0
-11.32,-2.97,2.481,-1.444,-1.796,-2.747,0
-10.06,-0.5892,-0.8598,-1.862,-1.749,-3.011,0
-7.446,-1.394,4.548,-1.105,-1.595,-3.122,0
-12.82,-3.013,1.042,0.3443,-1.308,-2.831,0
-9.671,-1.138,1.183,0.8611,-0.8635,-2.213,0
-11.03,-1.856,0.5413,0.5777,-0.3931,-1.093,0
-11.61,-1.626,2.785,0.3517,0.2068,0.1219,0
-7.99,-1.638,4.697,0.3174,0.8347,1.138,0
-11.42,-1.736,4.551,0.2698,1.328,1.939,0
-7.051,-1.001,-1.887,0.3101,1.706,2.614,0
-10.1,-3.331,4.354,0.4897,1.99,3.076,0
-10.84,-2.436,2.096,0.5044,2.248,3.33,0
-9.417,-3.602,2.11,0.5251,2.301,3.369,0
-11.85,-1.95,0.4072,0.3333,2.067,3.176,0
-10.71,-1.914,3.346,-0.06251,1.661,2.774,0
-14.73,-2.378,2.376,-0.4339,1.138,2.129,0
-11.1,-2.333,2.388,-0.8701,0.6099,1.221,0
-12.01,-1.284,0.9748,-1.006,0.1066,0.2783,0
-12.87,-2.67,3.14,-0.7235,-0.3442,-0.5635,0
-11.39,-2.347,2.778,-0.09184,-0.7266,-1.395,0
-11.48,-2.381,1.442,0.6962,-1.261,-2.074,0
-9.463,-3.791,4.335,1.435,-1.724,-2.554,0
-10.63,-0.6323,5.065,2.499,-2.188,-2.787,0
-13.16,-1.382,-0.4646,3.654,-2.414,-2.662,0
-15.85,-1.818,2.304,3.983,-2.982,-2.592,0
-1.66,0.9556,9.41,3.935,-3.284,-2.322,0
-9.175,-2.263,3.379,3.211,-3.292,-1.972,0
-10.58,-1.018,0.2754,2.685,-3.097,-1.481,0
-9.19,-4.831,2.953,1.813,-2.612,-1.051,0
-10.27,-1.449,-0.6993,1.06,-1.943,-0.6881,0
-12.66,-3.006,5.415,0.5911,-1.184,-0.3998,0
-9.673,-0.8957,0.4431,0.1977,-0.3968,-0.1322,0
-0.6323,0.9556,9.719,-0.2446,0.4206,0.1463,0
-11.89,-1.001,1.791,-0.616,1.222,0.431,0
-10.45,-0.07904,-0.1629,-0.7589,1.977,0.7804,0
-9.748,1.734,-0.9939,-0.6636,2.637,1.208,0
-7.985,-1.37,-0.04551,-0.6832,3.213,1.513,0
-10.7,-2.211,3.015,-0.1468,3.606,1.677,0
-12.12,-2.373,2.417,0.3468,3.722,1.507,0
